t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0,-0.09264387590186511,0.019937934301003258,0.9701772819428143,0.0697376125826765,8.88820493555783,0.2853694434921283
0.01,-0.11393555731764718,-0.019236120610270316,0.980869674626883,-0.09061002434964677,6.637622153448923,0.1025538596339855
0.02,-0.05999207390304288,0.024600147429230668,0.9798050336571046,0.015562071022408239,-9.341646504997321,0.15964412950373452
0.03,-0.11308388977966015,-0.030097679146956883,0.976082967203808,-0.20463679005814492,7.953585419366104,0.18359206801778702
0.04,-0.09541822289157545,0.02772787640631174,1.0014433247972194,0.20086973497361615,8.668510686413578,-0.0746254511094139
0.05,-0.10133539235325498,-0.04396400505513263,1.0139515217531563,-0.311195241015999,-4.86614078634787,-0.05659499173052155
0.06,-0.07468385414169625,0.01781512522464021,0.9913538966283411,0.2398585525510203,15.542708523229734,-0.13741824367897834
0.07,-0.09415805135237428,0.002941493535731499,0.9969829805947825,-0.3839992036358748,-1.4167809608191688,0.07360336934681591
0.08,-0.036372665805680986,0.017382971577665187,0.9969500964433684,-0.20767527591152557,-8.175716948967962,0.14786374928070772
0.09,-0.12649809183220156,0.03245573948841592,1.0026620998190843,-0.33924891526667306,2.488305956450557,0.05147855717404936
0.1,-0.07996088983586544,0.018221030718348154,1.004799953962213,0.11663740609134948,9.012427410430341,-0.10072972748712437
0.11,-0.08917453637216284,0.008840749892951687,1.0192621239155977,0.1802645532741928,9.31540105550379,-0.00905879923092382
0.12,-0.09702071414661559,-0.0022930067254419125,0.9822142271140372,-0.0956860738645121,-11.43342853235237,0.3591077621282124
0.13,-0.10366781970635532,-0.012075864375738432,0.9826363152847879,0.2329587042655053,-10.90120704747732,-0.36742578874184956
0.14,-0.08509316000428767,-0.0014559798887830181,0.9847999889231511,-0.33386959857481324,4.051270219161784,0.1363648232792322
0.15,-0.06967896883832214,-0.024073541094817883,1.0090540327493682,-0.10065606869773368,-20.06966758760886,0.27329572198613034
0.16,-0.09990309104659009,0.008144197091965816,1.0205397265727552,-0.133666380845088,11.658579823813946,0.009939593627530973
0.17,-0.09322523173306764,-0.0010420192582610132,1.0125173395624718,0.35234238771962834,23.71510514639633,0.1434116128406173
0.18,-0.09673014337209213,-0.01327777365094333,1.0346220009515068,0.18805577072311347,-23.88662455162874,0.05766553178408116
0.19,-0.07167239290047779,-0.006756584630656331,0.9671117741324253,0.2603500741681945,-6.832541711646172,0.08055076150622667
0.2,-0.08383601338782586,0.002238539337558087,0.97205671570891,-0.2467363607497966,5.563017967572769,-0.03825314163910155
0.21,-0.11585953898999314,0.013723634750830428,0.9910848841064289,-0.4231449747263901,-13.939746312802786,0.08790088419025985
0.22,-0.12488144945634726,0.036902895418663054,1.0034398891076277,-0.0195775400671362,7.176684918534795,-0.0019100804525551737
0.23,-0.09378504938350873,-0.02086288590825164,1.0303365146507746,-0.22205928232418498,7.3579731817564,0.25739435612635875
0.24,-0.06312539244014251,-0.017818085981256775,0.9957119616949441,0.12624179031287008,2.4978638399230877,0.007735672753294083
0.25,-0.04893637260626987,0.007187707013688382,1.0028041739841955,0.19712561837726464,-7.884444920723919,0.1556170870798853
0.26,-0.1054173669317946,0.011008284018801403,1.03243710646134,0.2165984293961164,-5.595877486804332,-0.21869603475362884
0.27,-0.11660512398813128,0.0022671665393365955,1.0394106331866357,-0.14358676709404752,15.654141155497204,-0.1180215381223596
0.28,-0.09268208598004261,0.0019000632365930013,0.9695995662499934,-0.08088203380200688,-1.923528503552031,0.17669418858439567
0.29,-0.05045304455832665,0.04810637473202265,0.9707827014683877,0.3072942201044992,9.888197768544886,-0.14446263935895615
0.3,-0.05238203836488443,0.047048643309397536,0.9868899937248174,0.19015226012234374,-12.897614300537104,0.2954172454260716
0.31,-0.04039267092496461,-0.01992531045804382,0.9986686576991151,-0.02858423059716377,-19.87833346543117,-0.16989720916574835
0.32,-0.07641753244020363,-0.02210515388596453,0.9972747198299243,0.1438356150056212,17.008305900510962,0.12758668813876456
0.33,-0.06847154695668378,-0.010034337476753911,1.0053800707123688,-0.015347419748166427,20.317532405033393,-0.23242339285678515
0.34,-0.08035015989703492,-0.0037348742269779616,1.021640820723594,0.17526067520556243,14.32337908587442,-0.029807295433785016
0.35000000000000003,-0.10075058075398385,-0.012910809268198667,1.0004377429125622,0.13067316738175538,19.859283653777204,-0.29791146916573996
0.36,-0.08635098390755495,0.0012111014437047284,0.9832327089279429,-0.02134372998635303,0.27790072257041276,-0.12697381868532795
0.37,-0.10701401063371496,0.005019063248585054,1.0091050899210705,-0.025730572460738572,-22.465970612274234,-0.08922557442401935
0.38,-0.11568838063700354,-0.05455990807945947,0.9909397252103821,-0.051269729959614735,-18.640339274296718,0.05205887845741944
0.39,-0.0705868529061916,0.02325714998080146,0.9950720638177646,-0.22004567041047807,-8.425302088082514,-0.13298195885164674
0.4,-0.08093723712829412,-0.06994364784483062,0.9995170599274653,0.027037921532262133,3.2808653205304865,0.23946337187161273
0.41000000000000003,-0.12173407081431609,0.027692567789086922,0.9723249615699134,0.5616370802376334,8.530410840969768,-0.09532670987159883
0.42,-0.08795281262774718,-0.015530806511277511,1.0107715754390172,-0.05311838607327172,4.542699271556035,-0.07540808586111562
0.43,-0.07956532460670375,-0.009555295025999184,1.0216130111688841,-0.03716745649855152,-9.07498225139725,0.16056081284610357
